"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3200,2900,3000,3100,3141,2968,3014,3043
"empl_table",3000,2800,2900,2900,3003,2824,2894,2908
"unempl_table",100,100,200,200,96,116,206,191
"uerate_table",0.041,0.049,0.059,0.054,0.037,0.052,0.053,0.049
