"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",52000,49000,50100,50400,50342,48576,48663,48703
"empl_table",47000,43200,44100,44600,46935,43814,44116,44487
"unempl_table",5000,5800,6000,5800,3653,4556,4447,4335
"uerate_table",0.096,0.118,0.121,0.116,0.071,0.091,0.089,0.087
