"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",7200,7200,6900,7000,7222,7268,6942,7021
"empl_table",6900,6700,6500,6600,6930,6772,6560,6622
"unempl_table",300,600,400,400,254,579,369,343
"uerate_table",0.044,0.08,0.065,0.059,0.038,0.069,0.061,0.052
