"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3400,3100,3200,3300,3358,3134,3210,3257
"empl_table",3300,2900,3100,3100,3307,2976,3079,3105
"unempl_table",100,200,200,200,97,215,202,193
"uerate_table",0.035,0.069,0.052,0.047,0.031,0.059,0.05,0.043
