"","V1","V2","V3","V4"
"lf_table",216960,218243,217943,217422
"empl_table",208550,210957,210384,209490
"unemp_table",8472,7311,7708,7925
"uerate_SB_table",0.039,0.033,0.035,0.037
"uerate_CA_table",0.042,0.038,0.039,0.04
"uerate_US_table",0.038,0.035,0.035,0.035
