"","V1","V2","V3","V4"
"lf_table",217925.612133422,217127.255972738,216860.182800345,216453.773025547
"empl_table",208915.073882145,208935.721105476,208750.932104204,208211.995660713
"unemp_table",8673.3157785142,8398.48097117766,8105.00702081147,7980.62011816017
"uerate_SB_table",0.0399894088411473,0.0387038810594771,0.0375403521827244,0.0370088783872664
"uerate_CA_table",0.0427679252313986,0.041456177032659,0.040107372687484,0.0397367644465202
"uerate_US_table",0.0398994689166905,0.0363770734845455,0.0368749301326291,0.0358635790897685
