"","V1","V2","V3","V4"
"lf_table",217600,218500,217300,215400
"empl_table",208300,210000,209200,207700
"unemp_table",9300,8600,8200,7700
"uerate_SB_table",0.043,0.039,0.038,0.036
"uerate_CA_table",0.049,0.045,0.044,0.043
"uerate_US_table",0.045,0.042,0.041,0.039
