"","V1","V2","V3","V4"
"lf_table",217220,216282,215452,215037
"empl_table",207591,207499,207344,206992
"unemp_table",9651,8968,8167,8072
"uerate_SB_table",0.045,0.041,0.038,0.038
"uerate_CA_table",0.047,0.044,0.04,0.041
"uerate_US_table",0.043,0.04,0.038,0.037
