"","V1","V2","V3","V4"
"lf_table",222500,224300,224000,222500
"empl_table",209800,218900,217600,216300
"unemp_table",12800,5400,6300,6200
"uerate_SB_table",0.057,0.024,0.028,0.028
"uerate_CA_table",0.078,0.035,0.04,0.039
"uerate_US_table",0.053,0.038,0.038,0.038
