"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17700,17600,17600,17500,17492,17423,17389,17286
"empl_table",16300,17000,16900,16800,16134,16872,16816,16627
"unempl_table",1400,600,700,600,1375,627,641,594
"uerate_table",0.08,0.034,0.038,0.037,0.078,0.036,0.036,0.036
