"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2800,2900,2900,2900,2779,2885,2879,2877
"empl_table",2700,2800,2800,2800,2699,2790,2801,2795
"unempl_table",100,100,100,100,103,102,104,104
"uerate_table",0.043,0.018,0.021,0.021,0.042,0.02,0.02,0.02
