"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3500,3600,3500,3500,3479,3605,3465,3475
"empl_table",3400,3500,3500,3500,3351,3470,3482,3447
"unempl_table",100,100,100,100,102,106,100,103
"uerate_table",0.039,0.016,0.019,0.018,0.037,0.018,0.018,0.017
