"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",49600,50100,49700,49300,49881,49981,49858,49575
"empl_table",46200,48200,47900,47600,45752,47808,47630,47123
"unempl_table",3400,1900,1700,1700,4206,2186,2037,2109
"uerate_table",0.069,0.038,0.035,0.034,0.085,0.044,0.041,0.042
