"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",18700,18900,18900,18800,18351,18657,18587,18439
"empl_table",17800,18600,18500,18400,17655,18403,18393,18237
"unempl_table",800,300,400,400,635,300,326,319
"uerate_table",0.045,0.015,0.022,0.022,0.036,0.015,0.018,0.018
