"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",6900,7000,7000,6900,6820,6963,6940,6811
"empl_table",6600,6900,6800,6800,6532,6834,6780,6732
"unempl_table",300,100,200,200,287,102,185,187
"uerate_table",0.046,0.019,0.023,0.022,0.044,0.021,0.021,0.021
