"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3100,3200,3200,3200,3050,3167,3152,3146
"empl_table",3000,3200,3200,3100,2997,3154,3174,3098
"unempl_table",0,0,0,0,-1,1,0,-2
"uerate_table",0.013,0.005,0.006,0.006,0.012,0.006,0.005,0.005
