"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",48900,51100,50800,50500,48548,50672,50513,50118
"unempl_table",2500,800,1100,1100,1935,819,860,855
"uerate_table",0.049,0.015,0.021,0.022,0.039,0.016,0.017,0.017
