"","V1","V2","V3","V4"
"lf_table",218230,218058,218180,218051
"empl_table",209921,210231,210635,210390
"unemp_table",8254,7790,7497,7602
"uerate_SB_table",0.038,0.036,0.034,0.035
"uerate_CA_table",0.042,0.04,0.037,0.039
"uerate_US_table",0.038,0.037,0.035,0.036
