"City","Santa Maria","Santa Barbara","Lompoc","Goleta","Carpinteria","Solvang","Montecito","Guadalupe","Buellton","Santa Ynez","Mission Canyon","Los Alamos"
"State","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA"
"2014-12-01"," 307300"," 934500"," 250900"," 733900"," 723500"," 630400","2838200"," 184400"," 481900"," 778800","1231700"," 483700"
"2015-01-01"," 310000"," 938000"," 253000"," 734600"," 729000"," 633900","2849200"," 186900"," 489800"," 782500","1216900"," 488700"
"2015-02-01"," 312500"," 943700"," 254800"," 737100"," 734800"," 637500","2867000"," 189700"," 493700"," 784500","1211200"," 493700"
"2015-03-01"," 315300"," 951800"," 258500"," 744000"," 743600"," 644800","2891300"," 192500"," 498400"," 791300","1209200"," 498500"
"2015-04-01"," 317500"," 959300"," 262700"," 749600"," 753400"," 652500","2906700"," 194500"," 502600"," 801800","1212800"," 500600"
"2015-05-01"," 318900"," 965900"," 265500"," 751700"," 760000"," 660200","2914400"," 196700"," 502200"," 808400","1226700"," 501500"
"2015-06-01"," 320400"," 972500"," 267900"," 752600"," 763100"," 668500","2921900"," 199600"," 500100"," 814900","1239600"," 503800"
"2015-07-01"," 322800"," 979400"," 270800"," 755300"," 765600"," 675700","2936700"," 203700"," 500400"," 818900","1248700"," 505300"
"2015-08-01"," 325700"," 987400"," 273200"," 759900"," 769400"," 683900","2970600"," 209000"," 505400"," 817100","1262800"," 505700"
"2015-09-01"," 327500"," 994600"," 275400"," 764500"," 773600"," 693600","3006200"," 214600"," 515800"," 812700","1272600"," 506400"
"2015-10-01"," 327800"," 997300"," 277000"," 764800"," 775900"," 701700","3004600"," 218500"," 521000"," 802100","1266800"," 505700"
"2015-11-01"," 327900"," 997800"," 278600"," 762700"," 777800"," 707800","2988100"," 220800"," 517300"," 782500","1259300"," 502300"
"2015-12-01"," 329100","1000900"," 280900"," 761400"," 781500"," 714600","2992000"," 222400"," 513500"," 767200","1258300"," 501100"
"2016-01-01"," 331800","1007400"," 284200"," 763700"," 789100"," 719500","3008600"," 224900"," 515900"," 765200","1266000"," 502800"
"2016-02-01"," 334500","1014600"," 286800"," 766700"," 795900"," 721400","3015400"," 227000"," 522500"," 766900","1275700"," 503600"
"2016-03-01"," 337200","1022000"," 288300"," 769600"," 801500"," 722700","3030700"," 228300"," 528600"," 770300","1287700"," 504200"
"2016-04-01"," 339100","1025900"," 289100"," 770900"," 803000"," 724100","3053100"," 228400"," 534000"," 772400","1293500"," 506700"
"2016-05-01"," 341400","1031000"," 290900"," 773200"," 802600"," 726200","3075900"," 229800"," 541000"," 775900","1297100"," 511100"
"2016-06-01"," 344000","1036100"," 293300"," 775400"," 799400"," 727400","3089500"," 233000"," 546500"," 780900","1302400"," 516100"
"2016-07-01"," 345200","1034800"," 294400"," 774400"," 791300"," 726000","3086200"," 234900"," 547400"," 786000","1298800"," 520400"
"2016-08-01"," 345400","1032300"," 295000"," 770300"," 779800"," 722400","3077200"," 235400"," 548700"," 791700","1289200"," 524500"
"2016-09-01"," 347100","1035600"," 297100"," 767300"," 772600"," 718100","3082300"," 236800"," 549100"," 800700","1288400"," 529500"
"2016-10-01"," 350600","1042900"," 300900"," 768000"," 772700"," 715100","3105100"," 240600"," 549400"," 815300","1302900"," 536400"
"2016-11-01"," 353700","1046300"," 304400"," 770700"," 775900"," 716700","3127000"," 246300"," 549900"," 827300","1317000"," 541700"
"2016-12-01"," 355100","1046200"," 307100"," 771800"," 776200"," 718400","3130300"," 252100"," 550000"," 830800","1313500"," 543700"
"2017-01-01"," 355500","1044600"," 309400"," 771300"," 773500"," 716000","3123500"," 254400"," 549300"," 830700","1299300"," 543300"
"2017-02-01"," 356100","1043900"," 312600"," 772000"," 775300"," 712300","3127500"," 256300"," 548800"," 832400","1297800"," 542600"
"2017-03-01"," 356800","1042000"," 315500"," 773400"," 777900"," 712400","3126700"," 260200"," 548600"," 830900","1298900"," 540300"
"2017-04-01"," 357600","1042500"," 318200"," 775800"," 781400"," 714700","3112000"," 264700"," 548800"," 828600","1301300"," 540400"
"2017-05-01"," 358700","1045700"," 320300"," 779500"," 792600"," 717100","3108000"," 268500"," 549100"," 827500","1309700"," 544700"
"2017-06-01"," 359700","1051000"," 322200"," 782100"," 809900"," 717500","3112900"," 272600"," 550200"," 824200","1313800"," 550600"
"2017-07-01"," 360200","1056300"," 323500"," 783200"," 820900"," 719200","3113600"," 276400"," 551500"," 820900","1311200"," 555200"
"2017-08-01"," 360400","1058900"," 324300"," 784600"," 825000"," 720900","3106900"," 277900"," 552200"," 815300","1306200"," 554700"
"2017-09-01"," 362400","1066500"," 325900"," 789100"," 830200"," 725200","3116800"," 279300"," 555500"," 812700","1302700"," 551100"
"2017-10-01"," 365100","1079600"," 327700"," 795200"," 837000"," 728800","3136300"," 281500"," 560900"," 817500","1302800"," 546800"
"2017-11-01"," 366600","1089300"," 328200"," 798200"," 838300"," 730000","3144700"," 282300"," 563700"," 825100","1305600"," 542200"
"2017-12-01"," 366900","1094600"," 327800"," 799300"," 832900"," 731100","3139400"," 282900"," 564700"," 828300","1312900"," 537300"
"2018-01-01"," 368600","1105800"," 328900"," 801500"," 831600"," 738300","3150900"," 287600"," 566200"," 832600","1330800"," 538900"
"2018-02-01"," 371200","1119100"," 330900"," 803100"," 835900"," 745700","3173100"," 294700"," 566600"," 835300","1348800"," 546500"
"2018-03-01"," 373900","1129200"," 332700"," 803700"," 840800"," 749700","3175600"," 302500"," 566700"," 833700","1362800"," 553500"
"2018-04-01"," 375700","1138200"," 334500"," 804900"," 844300"," 755300","3173400"," 308100"," 567700"," 833100","1370400"," 553300"
"2018-05-01"," 376700","1148800"," 336400"," 806400"," 848800"," 763400","3180300"," 310700"," 568800"," 836400","1373600"," 549500"
"2018-06-01"," 377100","1159900"," 338300"," 808200"," 849100"," 769900","3180400"," 311600"," 570000"," 841900","1381200"," 547300"
"2018-07-01"," 378000","1169400"," 340400"," 811100"," 847300"," 772900","3188700"," 311900"," 574200"," 847600","1391500"," 547900"
"2018-08-01"," 379300","1173400"," 343200"," 813800"," 848100"," 774300","3219500"," 311700"," 574800"," 854700","1390600"," 549900"
"2018-09-01"," 380800","1173700"," 346200"," 816400"," 852600"," 774200","3247900"," 312100"," 570200"," 858300","1385400"," 552600"
"2018-10-01"," 381800","1173100"," 347700"," 817600"," 852300"," 774500","3248200"," 312100"," 566100"," 855900","1380400"," 554600"
"2018-11-01"," 383500","1174400"," 348600"," 819200"," 852900"," 776300","3242300"," 312400"," 566400"," 857200","1380400"," 556100"
"2018-12-01"," 386000","1173700"," 349500"," 820600"," 858600"," 778900","3235500"," 313600"," 565700"," 867800","1379300"," 556800"
"2019-01-01"," 388000","1171600"," 350200"," 822100"," 864500"," 781700","3234400"," 315100"," 565900"," 877000","1379700"," 557400"
"2019-02-01"," 388900","1169000"," 350300"," 822200"," 867000"," 784800","3235000"," 315000"," 567200"," 878700","1380900"," 557300"
"2019-03-01"," 390500","1167200"," 350800"," 821700"," 866400"," 784800","3230300"," 314500"," 570300"," 878800","1384700"," 557200"
"2019-04-01"," 392500","1161700"," 350900"," 820200"," 859800"," 780400","3206600"," 313400"," 573300"," 876000","1381400"," 557300"
"2019-05-01"," 394000","1158000"," 351000"," 819900"," 851000"," 778200","3187900"," 312900"," 575800"," 882600","1371500"," 556500"
"2019-06-01"," 394800","1152400"," 350800"," 819500"," 844300"," 777100","3185700"," 313000"," 577200"," 900400","1361700"," 554600"
"2019-07-01"," 395600","1145200"," 351000"," 817600"," 843700"," 772100","3177100"," 314600"," 578700"," 913700","1351600"," 553000"
"2019-08-01"," 395400","1139900"," 350700"," 815000"," 848000"," 766400","3147100"," 316000"," 578500"," 910900","1342200"," 550000"
"2019-09-01"," 394700","1138000"," 350200"," 813900"," 850700"," 764000","3118400"," 316700"," 577800"," 905400","1338100"," 546700"
