"RegionName","United States"
"Date","100000"
"2018-06-01","216700"
"2018-07-01","217900"
"2018-08-01","219000"
"2018-09-01","220300"
"2018-10-01","221700"
"2018-11-01","223200"
"2018-12-01","224500"
"2019-01-01","225600"
"2019-02-01","226300"
"2019-03-01","226700"
