"","V1","V2","V3","V4"
"lf_table",221000,212300,209600,213500
"empl_table",213500,182800,182600,188800
"unemp_table",7500,29500,27100,24700
"uerate_SB_table",0.034,0.139,0.129,0.116
"uerate_CA_table",0.041,0.162,0.16,0.151
"uerate_US_table",0.038,0.144,0.13,0.112
