"","V1","V2","V3","V4"
"lf_table",216028,216559,216194,216419
"empl_table",206388,207855,207740,207909
"unemp_table",9941,8435,8635,8643
"uerate_SB_table",0.046,0.039,0.04,0.04
"uerate_CA_table",0.048,0.041,0.041,0.041
"uerate_US_table",0.044,0.04,0.04,0.039
