"","V1","V2","V3","V4"
"lf_table",217500,216700,217300,217700
"empl_table",209400,207200,209600,210800
"unemp_table",8100,9500,7700,6800
"uerate_SB_table",0.037,0.044,0.035,0.031
"uerate_CA_table",0.044,0.042,0.038,0.037
"uerate_US_table",0.041,0.041,0.037,0.036
