"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","405600","406900","409200","411300","405812","407762","410022","411378"
"empl_table_1","360000","383300","382800","385100","364094","385496","387652","389501"
"unemp_table_1","45600","23600","26500","26200","40145","23773","23070","22883"
"uerate_VEN_table","0.112","0.058","0.065","0.064","0.098","0.057","0.056","0.056"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","131800","130100","131100","131200","131898","130152","130491","131278"
"empl_table_2","118800","123400","123400","123700","120155","124087","124497","125152"
"unemp_table_2","13000"," 6700"," 7700"," 7500","11287"," 6586"," 6442"," 6490"
"uerate_SLO_table","0.099","0.052","0.059","0.057","0.086","0.051","0.050","0.049"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","219400","219400","221600","222100","217198","218507","219734","219717"
"empl_table","198400","207700","208500","209300","197358","207192","208444","208221"
"unemp_table","21000","11800","13100","12900","19769","12355","11946","12044"
"uerate_SB_table","0.096","0.054","0.059","0.058","0.091","0.056","0.054","0.054"
"uerate_CA_table","0.136","0.075","0.080","0.079","0.118","0.073","0.069","0.068"
"uerate_US_table","0.105","0.055","0.061","0.057","0.102","0.058","0.059","0.054"
