"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",212600,-0.0143718127028281,0.0290416263310744,"",211156.646723714,-0.00371460931332213,0.0288400396558102,""
"2","Total Nonfarm",182500,-0.0188172043010753,0.0339943342776203,"",185976.678547006,-0.00268194981820302,0.035161996237546,""
"3","Educational and Health Services",28000,0.0071942446043165,0.0218978102189782,"0.13170272812794",28358.1899617624,0.00789618061867015,0.0222831097008589,"0.134845208884538"
"4","Financial Activities",6500,0,-0.0298507462686567,"0.0305738476011289",6503.23312211977,-0.00441048754631501,-0.0289885426233198,"0.030923335726276"
"5","Goods Producing",21600,0.00465116279069777,0.0188679245283019,"0.101599247412982",21481.2388269047,-0.00314236096951703,0.0201048255341587,"0.102144817444921"
"6","Government",30900,-0.136871508379888,-0.0803571428571429,"0.145343367826905",33184.1981544912,-0.0511016908627316,-0.0787282071794052,"0.157793220859368"
"7","Information",4000,0,0.0526315789473684,"0.0188146754468485",4036.87050204701,0.000873576640057161,0.0532683072325038,"0.0191956061660619"
"8","Leisure and Hospitality",23400,0.017391304347826,0.125,"0.110065851364064",22936.005339084,-0.00187501869269024,0.124792026470229,"0.109062335610839"
"9","Other Services",5700,0,0.0754716981132075,"0.0268109125117592",5700.02235175654,0.00477294491393154,0.0756026751549428,"0.0271040114233504"
"10","Professional and Business Services",36000,0.0112359550561798,0.0975609756097562,"0.169332079021637",36458.4523852858,-0.00120700564094911,0.100197232725752,"0.173362532451113"
"11","Retail Trade",18100,0.011173184357542,0.0838323353293413,"0.0851364063969896",18242.1594709998,-0.00330783558530423,0.0819542910266966,"0.0867427648834027"
"12","Total Farm",30100,0.0134680134680134,0,"0.141580432737535",25144.509886014,0.0134382783770639,-0.00937641173815917,"0.11956393170547"
"13","Transportation, Warehousing and Utilitie",3300,0,0.03125,"0.01552210724365",3368.09107722643,0.00837731386195051,0.0346235897897715,"0.0160155124661744"
"14","Wholesale Trade",5000,0.0204081632653061,0,"0.0235183443085607",4888.82752787987,0.00308797840249331,0.00198371593525248,"0.0232467223784854"
