"","V1","V2","V3","V4"
"lf_table",217907.509804359,220488.745897625,221251.192111608,219253.839503016
"empl_table",201302.221781876,208305.241151517,209377.655755385,207069.541428964
"unemp_table",17139.4417360245,12173.7795590043,11744.4583236582,11808.4095154099
"uerate_SB_table",0.0792067140118687,0.0559954054065399,0.053453259199992,0.0545861453223428
"uerate_CA_table",0.103737808865496,0.0688482517511778,0.0686338049210745,0.0688670719585063
"uerate_US_table",0.067,0.048,0.046,0.042
