"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","407700","409300","411100","411900","407033","412524","412289","411145"
"empl_table_1","376500","384000","389400","391100","373778","389339","390338","387939"
"unemp_table_1","31200","25300","21600","20700","33987","23313","22643","22875"
"uerate_VEN_table","0.076","0.062","0.053","0.050","0.084","0.056","0.055","0.056"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","133300","129500","130700","132600","132013","131352","131111","131185"
"empl_table_2","124700","122400","124800","127000","122747","124716","124701","124846"
"unemp_table_2","8600","7100","5900","5700","9775","6698","6488","6577"
"uerate_SLO_table","0.064","0.055","0.045","0.043","0.074","0.051","0.049","0.051"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","219300","220700","221500","220800","217908","220489","221251","219254"
"empl_table","204800","208600","211400","211000","201302","208305","209378","207070"
"unemp_table","14500","12000","10100"," 9900","17139","12174","11744","11808"
"uerate_SB_table","0.066","0.055","0.046","0.045","0.079","0.056","0.053","0.055"
"uerate_CA_table","0.093","0.075","0.064","0.061","0.104","0.069","0.069","0.069"
"uerate_US_table","0.064","0.046","0.043","0.039","0.067","0.048","0.046","0.042"
