"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",219300,220700,221500,220800,217908,220489,221251,219254
"empl_table",204800,208600,211400,211000,201302,208305,209378,207070
"unemp_table",14500,12000,10100,9900,17139,12174,11744,11808
"uerate_SB_table",0.066,0.055,0.046,0.045,0.079,0.056,0.053,0.055
"uerate_CA_table",0.093,0.075,0.064,0.061,0.104,0.069,0.069,0.069
"uerate_US_table",0.064,0.046,0.043,0.039,0.067,0.048,0.046,0.042
