"","V1","V2","V3","V4"
"lf_table",216500,214300,215500,215000
"empl_table",206400,204300,205600,203000
"unemp_table",10100,10000,9900,12000
"uerate_SB_table",0.047,0.047,0.046,0.056
"uerate_CA_table",0.045,0.043,0.043,0.056
"uerate_US_table",0.039,0.04,0.038,0.045
