"","V1","V2","V3","V4"
"lf_table",217194,217716,217190,215850
"empl_table",208441,209877,208756,205340
"unemp_table",8544,7998,8116,10313
"uerate_SB_table",0.039,0.037,0.038,0.048
"uerate_CA_table",0.042,0.039,0.041,0.053
"uerate_US_table",0.038,0.036,0.035,0.044
