"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",7000,7000,7000,7100,6979,7018,7022,7082
"empl_table",6200,6500,6600,6800,6212,6528,6694,6844
"unempl_table",800,400,400,300,804,342,370,293
"uerate_table",0.112,0.059,0.053,0.049,0.118,0.052,0.05,0.05
