"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3000,3000,3100,3100,2977,2963,3075,3076
"empl_table",2700,2900,2900,3000,2678,2915,2912,2984
"unempl_table",300,200,200,100,262,195,174,85
"uerate_table",0.103,0.054,0.049,0.045,0.108,0.046,0.046,0.045
