"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2500,2600,2600,2700,2506,2624,2641,2712
"empl_table",2400,2500,2600,2600,2402,2477,2595,2606
"unempl_table",100,100,100,100,98,97,99,93
"uerate_table",0.045,0.023,0.021,0.019,0.047,0.02,0.02,0.019
