"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","401500","409200","412300","408300","405144","410222","412254","411815"
"empl_table_1","362100","382800","386000","383100","367598","387608","390027","388449"
"unemp_table_1","39300","26500","26300","25300","36459","23087","23034","23538"
"uerate_VEN_table","0.098","0.065","0.064","0.062","0.091","0.056","0.056","0.057"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","129400","131100","130700","129000","131492","130460","130878","130928"
"empl_table_2","118300","123400","123300","121800","120834","124387","124705","124171"
"unemp_table_2","11100"," 7700"," 7500"," 7100","10571"," 6452"," 6524"," 6792"
"uerate_SLO_table","0.086","0.059","0.057","0.055","0.081","0.050","0.050","0.052"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","216300","221600","221900","220300","216501","219799","219751","220377"
"empl_table","198400","208500","209200","208200","198338","208378","208072","208000"
"unemp_table","17900","13100","12700","12100","18477","11971","11959","12484"
"uerate_SB_table","0.083","0.059","0.057","0.055","0.086","0.054","0.054","0.057"
"uerate_CA_table","0.123","0.080","0.079","0.075","0.114","0.069","0.068","0.069"
"uerate_US_table","0.085","0.061","0.057","0.053","0.084","0.059","0.054","0.052"
