"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",216300,221600,221900,220300,216501,219799,219751,220377
"empl_table",198400,208500,209200,208200,198338,208378,208072,208000
"unemp_table",17900,13100,12700,12100,18477,11971,11959,12484
"uerate_SB_table",0.083,0.059,0.057,0.055,0.086,0.054,0.054,0.057
"uerate_CA_table",0.123,0.08,0.079,0.075,0.114,0.069,0.068,0.069
"uerate_US_table",0.085,0.061,0.057,0.053,0.084,0.059,0.054,0.052
