"","V1","V2","V3","V4"
"lf_table",219561,218697,218032,218472
"empl_table",211490,211065,210476,210992
"unemp_table",8249,7593,7440,7496
"uerate_SB_table",0.038,0.035,0.034,0.034
"uerate_CA_table",0.042,0.039,0.039,0.038
"uerate_US_table",0.039,0.036,0.036,0.036
