"","V1","V2","V3","V4"
"lf_table",219560.603621859,218697.30153199,218031.883733105,218471.730692351
"empl_table",211489.661413565,211064.654919629,210476.388264031,210991.568510347
"unemp_table",8249.48152661718,7593.00740279864,7439.53074176284,7495.84822482963
"uerate_SB_table",0.0377212732833044,0.0347983589857461,0.0342199388805763,0.0339833544072158
"uerate_CA_table",0.0422534978372084,0.0389132583403689,0.0390656956742164,0.038239520897603
"uerate_US_table",0.0386647066688236,0.0358463389778512,0.0358651488233869,0.03559662003477
