"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",6500,6700,6700,6800,6571,6742,6879,6874
"empl_table",6100,6500,6400,6600,6171,6550,6569,6664
"unempl_table",400,200,300,200,368,212,288,187
"uerate_table",0.064,0.031,0.039,0.034,0.057,0.034,0.035,0.031
