"","V1","V2","V3","V4"
"lf_table",211300,216800,216000,219800
"empl_table",194500,208300,205600,210500
"unemp_table",16800,8400,10400,9300
"uerate_SB_table",0.08,0.039,0.048,0.043
"uerate_CA_table",0.089,0.048,0.055,0.048
"uerate_US_table",0.062,0.044,0.041,0.038
