"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2700,2800,2800,2800,2733,2831,2877,2839
"empl_table",2500,2700,2700,2700,2533,2727,2732,2743
"unempl_table",200,100,100,100,185,101,97,92
"uerate_table",0.06,0.029,0.036,0.032,0.053,0.032,0.032,0.029
