"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",121700,0.0175585284280937,0.0573414422241529,"",121813.163841522,0.00753291664043521,0.0570188018074929,""
"2","Total Nonfarm",116700,0.0121422376409366,0.0599455040871935,"",116980.189888623,0.00855975112647989,0.0595828721950977,""
"3","Educational and Health Services",18200,0.0111111111111111,0.0520231213872833,"0.149548069022186",17908.9641836717,0.00568415404476497,0.0507995828078756,"0.147143242487421"
"4","Financial Activities",4000,0,0.0526315789473684,"0.0328677074774035",4012.51119494739,0.000224516207718573,0.0515200632454622,"0.0329675073156905"
"5","Goods Producing",17300,0.0359281437125749,-0.0170454545454546,"0.14215283483977",17181.0500855637,0.0212479123083291,-0.021563102108512,"0.141162570487107"
"6","Government",22700,0.0179372197309418,-0.00438596491228072,"0.186524239934265",22528.8307709444,0.00174283482576287,-0.00129221247282862,"0.185100889983884"
"7","Information",1200,0,0.0909090909090908,"0.00986031224322103",1196.01514013206,0.000793723800924573,0.092035103490103,"0.00982667361318034"
"8","Leisure and Hospitality",18300,0.011049723756906,0.262068965517241,"0.150369761709121",18892.6626563138,0.0223462045065916,0.252415809827054,"0.155225484509349"
"9","Other Services",4000,0.0256410256410255,0.290322580645161,"0.0328677074774035",3977.62287374935,0.0275310467853287,0.29006385082103,"0.0326808586489461"
"10","Professional and Business Services",11100,-0.0176991150442478,0.0471698113207548,"0.0912078882497946",11172.9484442143,-0.0179713117647905,0.0457883972641062,"0.0917989362961258"
"11","Retail Trade",13400,0,0.0151515151515151,"0.110106820049302",13509.7966547702,0.00573898541088602,0.0142051205027403,"0.110998897800076"
"12","Total Farm",5000,0.162790697674419,0,"0.0410846343467543",4882.29828999668,0.00750501184965602,-0.00363857907942378,"0.0401138331515506"
"13","Transportation, Warehousing and Utilitie",3900,0.0263157894736843,0.0833333333333333,"0.0320460147904684",3837.58151954526,0.00518861959462558,0.0858195436912563,"0.0315302539166687"
"14","Wholesale Trade",2600,0,0.04,"0.0213640098603122",2610.80651698434,-0.00583025861817332,0.0407991187879295,"0.0214508517900003"
