"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",49500,49500,50200,50900,48504,49775,50037,49965
"empl_table",42800,45900,45300,46300,43143,46251,46365,46649
"unempl_table",6700,3600,4900,4500,4767,3494,3663,3281
"uerate_table",0.136,0.072,0.098,0.089,0.098,0.07,0.073,0.065
