"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3300,3400,3400,3500,3296,3473,3469,3499
"empl_table",3100,3300,3300,3400,3098,3364,3352,3396
"unempl_table",200,100,100,100,185,101,97,92
"uerate_table",0.054,0.026,0.032,0.029,0.051,0.029,0.031,0.028
