"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17300,18100,17800,18200,17571,18528,18381,18511
"empl_table",16500,17700,17500,17900,16670,17953,17965,18098
"unempl_table",800,400,400,300,971,500,446,373
"uerate_table",0.047,0.02,0.022,0.018,0.054,0.026,0.024,0.021
