"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","403000","405300","407900","413100","400248","404648","408775","410304"
"empl_table_1","372700","388300","388500","396100","368923","384826","389022","392141"
"unemp_table_1","30300","17000","19400","17000","31493","19866","19759","17881"
"uerate_VEN_table","0.075","0.042","0.048","0.041","0.078","0.049","0.048","0.043"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","134100","135000","136100","137800","133103","136466","136849","136797"
"empl_table_2","125100","130600","131000","133200","123885","130787","131631","131916"
"unemp_table_2","9000","4400","5100","4500","9132","5299","5127","4601"
"uerate_SLO_table","0.067","0.033","0.038","0.033","0.068","0.040","0.038","0.034"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","211300","216800","216000","219800","212371","220105","220847","221196"
"empl_table","194500","208300","205600","210500","196760","210239","210994","213100"
"unemp_table","16800"," 8400","10400"," 9300","15162"," 9317"," 9370"," 8542"
"uerate_SB_table","0.080","0.039","0.048","0.043","0.071","0.043","0.043","0.039"
"uerate_CA_table","0.089","0.048","0.055","0.048","0.092","0.057","0.056","0.050"
"uerate_US_table","0.062","0.044","0.041","0.038","0.060","0.040","0.038","0.036"
