"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2900,3000,3000,3100,2908,3038,3082,3112
"empl_table",2800,3000,3000,3100,2837,3072,3066,3138
"unempl_table",100,0,0,0,91,-6,-10,-7
"uerate_table",0.018,0.009,0.011,0.009,0.017,0.01,0.009,0.008
