"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",45400,48600,48000,49100,45743,48941,49080,49431
"unempl_table",2400,1100,1100,1000,2908,1438,1280,1237
"uerate_table",0.051,0.021,0.023,0.019,0.063,0.028,0.026,0.024
