"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",7200,7200,7100,7000,7252,7152,7044,7041
"empl_table",6900,6900,6700,6500,6965,6789,6577,6543
"unempl_table",200,400,300,400,206,473,388,426
"uerate_table",0.03,0.052,0.049,0.064,0.033,0.066,0.064,0.074
