"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",48800,48200,47200,46000,49010,47144,46370,46053
"unempl_table",900,2800,2300,2900,1260,3332,3093,4120
"uerate_table",0.018,0.055,0.046,0.059,0.025,0.066,0.059,0.084
