"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",16900,17200,16800,16500,17133,16918,16708,16704
"empl_table",16600,16400,16000,15600,16629,15987,15697,15570
"unempl_table",300,900,700,800,395,1032,941,1076
"uerate_table",0.018,0.051,0.043,0.052,0.024,0.06,0.056,0.07
