"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",219200,215800,213100,210600,223112,214935,214994,214200
"empl_table",209100,203500,197600,194300,213275,201341,199086,197686
"unemp_table",10200,12300,15500,16200,10200,13356,16108,16757
"uerate_SB_table",0.046,0.057,0.073,0.077,0.045,0.063,0.075,0.078
"uerate_CA_table",0.045,0.083,0.091,0.092,0.046,0.1,0.108,0.098
"uerate_US_table",0.045,0.068,0.066,0.062,0.044,0.063,0.062,0.06
