"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2800,2800,2900,2900,2786,2843,2891,2886
"empl_table",2600,2700,2800,2800,2625,2762,2802,2830
"unempl_table",100,100,100,100,95,93,95,95
"uerate_table",0.048,0.032,0.026,0.021,0.047,0.028,0.023,0.021
