"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3000,3100,3100,3200,2984,3122,3127,3178
"empl_table",2900,3000,3100,3100,2897,3057,3068,3103
"unempl_table",0,0,0,0,10,-5,6,11
"uerate_table",0.014,0.009,0.008,0.006,0.014,0.008,0.007,0.006
