"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","403700","413000","415100","409600","404332","410568","411547","410298"
"empl_table_1","376500","396000","400600","397100","377521","392870","396926","398363"
"unemp_table_1","27200","17000","14500","12500","27505","16934","14256","12487"
"uerate_VEN_table","0.067","0.041","0.035","0.030","0.067","0.041","0.035","0.030"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","133400","138200","140100","136600","134092","137236","138323","137472"
"empl_table_2","125500","133600","136200","133300","126470","132654","134516","134517"
"unemp_table_2","7800","4500","3900","3300","7680","4383","3716","3220"
"uerate_SLO_table","0.059","0.033","0.028","0.024","0.058","0.032","0.027","0.023"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","217400","218900","222000","222600","217136","221220","222072","222448"
"empl_table","203500","209500","214100","216300","203844","213216","215422","216914"
"unemp_table","14000"," 9400"," 7900"," 6300","13858"," 8202"," 6997"," 6183"
"uerate_SB_table","0.064","0.043","0.036","0.028","0.063","0.037","0.031","0.027"
"uerate_CA_table","0.083","0.049","0.043","0.038","0.081","0.049","0.042","0.037"
"uerate_US_table","0.057","0.041","0.038","0.033","0.060","0.038","0.036","0.036"
