"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3400,3400,3500,3500,3392,3450,3474,3496
"empl_table",3300,3300,3400,3500,3277,3340,3418,3480
"unempl_table",100,100,100,100,94,93,95,94
"uerate_table",0.044,0.029,0.024,0.019,0.043,0.025,0.021,0.019
