"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17400,17300,17500,17500,17326,17456,17474,17427
"empl_table",15800,16300,16600,16800,15833,16570,16710,16835
"unempl_table",1600,1000,800,700,1532,895,739,673
"uerate_table",0.091,0.056,0.047,0.039,0.088,0.05,0.042,0.038
