"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",18100,18100,18500,18600,18027,18462,18592,18532
"empl_table",17300,17800,18200,18400,17277,18096,18289,18396
"unempl_table",800,300,300,300,782,359,325,292
"uerate_table",0.044,0.018,0.016,0.015,0.043,0.02,0.017,0.015
