"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",6700,6800,6900,6900,6717,6888,6946,6926
"empl_table",6400,6600,6700,6800,6424,6723,6784,6820
"unempl_table",300,200,200,200,304,186,175,199
"uerate_table",0.052,0.034,0.028,0.023,0.051,0.03,0.025,0.023
