"","V1","V2","V3","V4"
"lf_table",219200,214100,212300,208600
"empl_table",212700,201800,182800,181600
"unemp_table",6400,12300,29500,26900
"uerate_SB_table",0.029,0.057,0.139,0.129
"uerate_CA_table",0.036,0.058,0.162,0.159
"uerate_US_table",0.034,0.045,0.144,0.13
