"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",49100,47100,46800,47300,49746,47737,47693,47909
"empl_table",47200,42100,43100,43600,46788,42265,42962,43132
"unempl_table",2000,5000,3700,3700,2893,6024,5283,5452
"uerate_table",0.04,0.106,0.079,0.078,0.056,0.126,0.105,0.111
