"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",17300,17000,16800,17000,17317,16891,16832,17015
"empl_table",16600,14800,15200,15400,16433,14844,15111,15211
"unempl_table",700,2200,1600,1600,826,2116,1660,1901
"uerate_table",0.038,0.13,0.097,0.096,0.046,0.123,0.105,0.118
