"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",NA,NA,NA,NA,NA,NA,NA,NA
"empl_table",49900,44500,45600,46100,49395,44653,45392,45549
"unempl_table",1100,5100,3700,3600,1141,4058,3036,3749
"uerate_table",0.022,0.103,0.076,0.072,0.023,0.081,0.065,0.075
