"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",3300,3200,3200,3200,3286,3185,3187,3189
"empl_table",3200,2900,3000,3000,3180,2907,2986,2980
"unempl_table",100,300,200,200,106,281,206,214
"uerate_table",0.024,0.086,0.064,0.062,0.029,0.08,0.067,0.077
