"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",2800,2600,2600,2600,2794,2599,2596,2593
"empl_table",2700,2400,2500,2500,2689,2423,2484,2491
"unempl_table",0,100,100,100,22,118,121,124
"uerate_table",0.012,0.044,0.033,0.031,0.015,0.041,0.034,0.039
